runtime,theme,size,seed,variant,days,cpu_ms,wall_ms
node,highlands,128,11,water-wasm,73,21842,23893.44359999895
node,highlands,128,11,combined,73,19734,21572.493999999482
node,highlands,128,12,baseline,73,31737,34204.139300001785
node,highlands,128,12,water-sparse,73,26839,29102.89900000021
node,highlands,128,12,soil-cache,73,28641,30757.44330000272
node,highlands,128,12,soil-saturation,73,29673,32700.674299999606
node,highlands,128,12,water-wasm,73,26218,29110.334900001064
node,highlands,128,12,combined,73,20126,21832.817599997856
node,highlands,128,13,baseline,73,23017,24791.819499996025
node,highlands,128,13,water-sparse,73,19201,20350.705800000113
node,highlands,128,13,soil-cache,73,19905,20856.409300002735
node,highlands,128,13,soil-saturation,73,21548,22936.221299997997
node,highlands,128,13,water-wasm,73,17516,18780.227000001818
node,highlands,128,13,combined,73,16048,18090.368699999526
node,highlands,128,14,baseline,73,21922,22574.747499999125
node,highlands,128,14,water-sparse,73,19315,20515.436499999836
node,highlands,128,14,soil-cache,73,21237,23029.62359999772
node,highlands,128,14,soil-saturation,73,22501,24204.171100001317
node,highlands,128,14,water-wasm,73,16861,17624.043199998792
node,highlands,128,14,combined,73,14874,15626.388999997638
node,highlands,128,15,baseline,73,20046,21638.29099999927
node,highlands,128,15,water-sparse,73,17924,19028.37399999611
node,highlands,128,15,soil-cache,73,19279,21036.47939999448
node,highlands,128,15,soil-saturation,73,21549,24640.32389999926
node,highlands,128,15,water-wasm,73,17016,18909.73869999731
node,highlands,128,15,combined,73,13894,14999.238300000317
node,highlands,128,16,baseline,73,25152,26223.81099999789
node,highlands,128,16,water-sparse,73,22027,23016.373399998527
node,highlands,128,16,soil-cache,73,24145,24888.36029999936
node,highlands,128,16,soil-saturation,73,25144,26272.584700000007
node,highlands,128,16,water-wasm,73,20468,21276.59680000227
node,highlands,128,16,combined,73,16973,17578.655700000003
node,highlands,128,17,baseline,73,23044,24054.230899998918
node,highlands,128,17,water-sparse,73,20749,21571.371800001245
node,highlands,128,17,soil-cache,73,21771,22814.362500000745
node,highlands,128,17,soil-saturation,73,23389,24505.11739999894
node,highlands,128,17,water-wasm,73,18748,19899.3935000021
node,highlands,128,17,combined,73,15935,16660.254300001543
node,highlands,128,18,baseline,73,26265,27316.426099999808
node,highlands,128,18,water-sparse,73,23330,24237.142400000244
node,highlands,128,18,soil-cache,73,24781,25845.405300001614
node,highlands,128,18,soil-saturation,73,25670,26807.281900000293
node,highlands,128,18,water-wasm,73,21370,22420.561200001743
node,highlands,128,18,combined,73,17973,18535.889199996367
node,highlands,128,19,baseline,73,22795,23451.233100000303
node,highlands,128,19,water-sparse,73,20357,21152.439699999522
node,highlands,128,19,soil-cache,73,22001,22745.544399997685
node,highlands,128,19,soil-saturation,73,22766,23493.141599998344
node,highlands,128,19,water-wasm,73,18141,18939.641400000546
node,highlands,128,19,combined,73,15646,16156.265100002289
node,highlands,128,2,baseline,73,25937,27805.357299997937
node,highlands,128,2,water-sparse,73,25944,27733.558600001037
node,highlands,128,2,soil-cache,73,24464,26973.724600000074
node,highlands,128,2,soil-saturation,73,25686,27579.080500001553
node,highlands,128,2,water-wasm,73,21390,22407.05300000054
node,highlands,128,2,combined,73,20563,21754.1409
node,highlands,128,20,baseline,73,20138,20893.208000001498
node,highlands,128,20,water-sparse,73,17796,18088.117800002452
node,highlands,128,20,soil-cache,73,18645,19467.01449999772
node,highlands,128,20,soil-saturation,73,19857,20462.884300000034
node,highlands,128,20,water-wasm,73,15998,16521.332999998238
node,highlands,128,20,combined,73,13888,14281.992300001439
node,highlands,128,21,baseline,73,26014,26862.754699999467
node,highlands,128,21,water-sparse,73,25036,26206.56009999523
node,highlands,128,21,soil-cache,73,25328,26512.581400000025
node,highlands,128,21,soil-saturation,73,25643,26572.82509999862
node,highlands,128,21,water-wasm,73,21953,22624.895600000862
node,highlands,128,21,combined,73,19202,19965.872400000226
